Price,Close,High,Low,Open,Volume,ticker,company,exchange,currency,fetched_at_utc
Ticker,ALFEN.AS,ALFEN.AS,ALFEN.AS,ALFEN.AS,ALFEN.AS,,,,,
Datetime,,,,,,,,,,
2026-07-03 09:00:00+02:00,14.619999885559082,14.649999618530273,14.619999885559082,14.649999618530273,0,ALFEN.AS,Alfen N.V.,Euronext Amsterdam,EUR,20260703_081139
2026-07-03 09:01:00+02:00,14.529999732971191,14.600000381469727,14.5,14.600000381469727,2932,ALFEN.AS,Alfen N.V.,Euronext Amsterdam,EUR,20260703_081139
2026-07-03 09:03:00+02:00,14.630000114440918,14.630000114440918,14.619999885559082,14.619999885559082,873,ALFEN.AS,Alfen N.V.,Euronext Amsterdam,EUR,20260703_081139
2026-07-03 09:04:00+02:00,14.699999809265137,14.699999809265137,14.640000343322754,14.649999618530273,1284,ALFEN.AS,Alfen N.V.,Euronext Amsterdam,EUR,20260703_081139
2026-07-03 09:05:00+02:00,14.699999809265137,14.699999809265137,14.699999809265137,14.699999809265137,700,ALFEN.AS,Alfen N.V.,Euronext Amsterdam,EUR,20260703_081139
2026-07-03 09:07:00+02:00,14.649999618530273,14.649999618530273,14.649999618530273,14.649999618530273,885,ALFEN.AS,Alfen N.V.,Euronext Amsterdam,EUR,20260703_081139
2026-07-03 09:10:00+02:00,14.649999618530273,14.649999618530273,14.649999618530273,14.649999618530273,14,ALFEN.AS,Alfen N.V.,Euronext Amsterdam,EUR,20260703_081139
2026-07-03 09:11:00+02:00,14.680000305175781,14.680000305175781,14.680000305175781,14.680000305175781,200,ALFEN.AS,Alfen N.V.,Euronext Amsterdam,EUR,20260703_081139
2026-07-03 09:12:00+02:00,14.640000343322754,14.640000343322754,14.600000381469727,14.609999656677246,925,ALFEN.AS,Alfen N.V.,Euronext Amsterdam,EUR,20260703_081139
2026-07-03 09:13:00+02:00,14.640000343322754,14.640000343322754,14.579999923706055,14.579999923706055,214,ALFEN.AS,Alfen N.V.,Euronext Amsterdam,EUR,20260703_081139
2026-07-03 09:18:00+02:00,14.619999885559082,14.619999885559082,14.619999885559082,14.619999885559082,300,ALFEN.AS,Alfen N.V.,Euronext Amsterdam,EUR,20260703_081139
2026-07-03 09:19:00+02:00,14.550000190734863,14.550000190734863,14.550000190734863,14.550000190734863,859,ALFEN.AS,Alfen N.V.,Euronext Amsterdam,EUR,20260703_081139
2026-07-03 09:20:00+02:00,14.550000190734863,14.550000190734863,14.550000190734863,14.550000190734863,108,ALFEN.AS,Alfen N.V.,Euronext Amsterdam,EUR,20260703_081139
2026-07-03 09:25:00+02:00,14.609999656677246,14.609999656677246,14.609999656677246,14.609999656677246,400,ALFEN.AS,Alfen N.V.,Euronext Amsterdam,EUR,20260703_081139
2026-07-03 09:27:00+02:00,14.609999656677246,14.609999656677246,14.609999656677246,14.609999656677246,705,ALFEN.AS,Alfen N.V.,Euronext Amsterdam,EUR,20260703_081139
2026-07-03 09:28:00+02:00,14.579999923706055,14.579999923706055,14.579999923706055,14.579999923706055,819,ALFEN.AS,Alfen N.V.,Euronext Amsterdam,EUR,20260703_081139
2026-07-03 09:31:00+02:00,14.569999694824219,14.609999656677246,14.569999694824219,14.609999656677246,1681,ALFEN.AS,Alfen N.V.,Euronext Amsterdam,EUR,20260703_081139
2026-07-03 09:35:00+02:00,14.569999694824219,14.569999694824219,14.569999694824219,14.569999694824219,15,ALFEN.AS,Alfen N.V.,Euronext Amsterdam,EUR,20260703_081139
2026-07-03 09:37:00+02:00,14.600000381469727,14.600000381469727,14.600000381469727,14.600000381469727,103,ALFEN.AS,Alfen N.V.,Euronext Amsterdam,EUR,20260703_081139
2026-07-03 09:38:00+02:00,14.600000381469727,14.600000381469727,14.600000381469727,14.600000381469727,95,ALFEN.AS,Alfen N.V.,Euronext Amsterdam,EUR,20260703_081139
2026-07-03 09:39:00+02:00,14.59000015258789,14.59000015258789,14.59000015258789,14.59000015258789,200,ALFEN.AS,Alfen N.V.,Euronext Amsterdam,EUR,20260703_081139
2026-07-03 09:40:00+02:00,14.539999961853027,14.59000015258789,14.539999961853027,14.59000015258789,6606,ALFEN.AS,Alfen N.V.,Euronext Amsterdam,EUR,20260703_081139
2026-07-03 09:41:00+02:00,14.539999961853027,14.539999961853027,14.539999961853027,14.539999961853027,100,ALFEN.AS,Alfen N.V.,Euronext Amsterdam,EUR,20260703_081139
2026-07-03 09:42:00+02:00,14.539999961853027,14.539999961853027,14.539999961853027,14.539999961853027,37,ALFEN.AS,Alfen N.V.,Euronext Amsterdam,EUR,20260703_081139
2026-07-03 09:44:00+02:00,14.5,14.539999961853027,14.5,14.520000457763672,17929,ALFEN.AS,Alfen N.V.,Euronext Amsterdam,EUR,20260703_081139
2026-07-03 09:45:00+02:00,14.5600004196167,14.5600004196167,14.5600004196167,14.5600004196167,250,ALFEN.AS,Alfen N.V.,Euronext Amsterdam,EUR,20260703_081139
2026-07-03 09:46:00+02:00,14.520000457763672,14.520000457763672,14.520000457763672,14.520000457763672,1000,ALFEN.AS,Alfen N.V.,Euronext Amsterdam,EUR,20260703_081139
2026-07-03 09:50:00+02:00,14.539999961853027,14.539999961853027,14.539999961853027,14.539999961853027,575,ALFEN.AS,Alfen N.V.,Euronext Amsterdam,EUR,20260703_081139
2026-07-03 09:51:00+02:00,14.5600004196167,14.5600004196167,14.529999732971191,14.529999732971191,83,ALFEN.AS,Alfen N.V.,Euronext Amsterdam,EUR,20260703_081139
2026-07-03 09:52:00+02:00,14.5,14.529999732971191,14.5,14.529999732971191,10000,ALFEN.AS,Alfen N.V.,Euronext Amsterdam,EUR,20260703_081139
2026-07-03 09:55:00+02:00,14.479999542236328,14.510000228881836,14.479999542236328,14.510000228881836,10267,ALFEN.AS,Alfen N.V.,Euronext Amsterdam,EUR,20260703_081139
2026-07-03 09:56:00+02:00,14.460000038146973,14.460000038146973,14.460000038146973,14.460000038146973,0,ALFEN.AS,Alfen N.V.,Euronext Amsterdam,EUR,20260703_081139
